"ticket_no","name","ticket_title","description_plain","comments","solution"
T004660,iApp,Geo fencing Link,Need to share the link of Mobile ESS.,We have shared the invitation code to the user for login in the mobile ess of Geofance and informed them to share with us if any issue found,We have shared the invitation code to the user for login in mobile ess of Geofance and informed them to share with us if any issue found
T004661,ARSWin-Net,ARS Win Installation,ARS Win Installation in client system.,"We took a client remote session and performed the following steps to install ARS Win: 1. We copied the ARS Win-Net [5.0.0.15] Setup and pasted it on the client system. 2. We then took a remote session of the server system from the client end where ARS Win was already installed. 3. We copied the ARS Win Application folder from the server system and pasted it on the client system. 4. We ran the ARS Win-Net [5.0.0.15] Setup and installed it on the client system. 5. We then copied the ARS Win Application folder from the server and went to the file location of the newly installed ARS Win software. 6. We also installed vc2008redist_x86, vc2008redist_x64, vcredist_x86, and vcredist_x64. ARS Win Software was successfully installed on the client System.

","We took a client remote session and performed the following steps to install ARS Win: 1. We copied the ARS Win-Net [5.0.0.15] Setup and pasted it on the client system. 2. We then took a remote session of the server system from the client end where ARS Win was already installed. 3. We copied the ARS Win Application folder from the server system and pasted it on the client system. 4. We ran the ARS Win-Net [5.0.0.15] Setup and installed it on the client system. 5. We then copied the ARS Win Application folder from the server and went to the file location of the newly installed ARS Win software. 6. We also installed vc2008redist_x86, vc2008redist_x64, vcredist_x86, and vcredist_x64. ARS Win Software was successfully installed on the client System.

"
T004662,iApp,issue in database,issue in database,"database issue
Assign to L2","Connect to the server system for remote access and clear the 'downloaddocument' table. Additionally, shrink the 'iapp' database using the following query: DBCC SHRINKDATABASE (iApp, 10); GO

"
T004662,iApp,issue in database,issue in database,"Connect to the server system for remote access and clear the 'downloaddocument' table. 
Additionally, shrink the 'iapp' database using the following query:

DBCC SHRINKDATABASE (iApp, 10);
GO
","Connect to the server system for remote access and clear the 'downloaddocument' table. Additionally, shrink the 'iapp' database using the following query: DBCC SHRINKDATABASE (iApp, 10); GO

"
T004662,iApp,issue in database,issue in database,Query run in progress,"Connect to the server system for remote access and clear the 'downloaddocument' table. Additionally, shrink the 'iapp' database using the following query: DBCC SHRINKDATABASE (iApp, 10); GO

"
T004662,iApp,issue in database,issue in database,"Connect to the server system for remote access and clear the 'downloaddocument' table. Additionally, shrink the 'iapp' database using the following query: DBCC SHRINKDATABASE (iApp, 10); GO

","Connect to the server system for remote access and clear the 'downloaddocument' table. Additionally, shrink the 'iapp' database using the following query: DBCC SHRINKDATABASE (iApp, 10); GO

"
T004663,ARSWin-Net,C-off not generate,C-off not generating and ARS browser is not working.,Need to forward to development team hence forwarding to L2.,"Connect server system remote access
IIS Host In New System And ARSBrowser Host In New System And Path File Create with IP Address 
ARSBrowser Working Properly In New System"
T004663,ARSWin-Net,C-off not generate,C-off not generating and ARS browser is not working.,"Connect server system remote access
IIS Host In New System And ARSBrowser Host In New System And Path File Create with IP Address 
ARSBrowser Working Properly In New System","Connect server system remote access
IIS Host In New System And ARSBrowser Host In New System And Path File Create with IP Address 
ARSBrowser Working Properly In New System"
T004664,Biot Device,WI-FI Issue,Device is not online due to WI-FI issue.,"We have taken remote session of the user and found that Biot device is not getting online although all the WI-Fi details is proper,
At conclusion we asked  user to set WI-Fi frequency 2.4 Ghz.
And now device is online.","We have taken remote session of the user and found that Biot device is not getting online although all the WI-Fi details is proper,
At conclusion we asked  user to set WI-Fi frequency 2.4 Ghz.
And now device is online."
T004665,iApp,Device data and time set ,Device data and time set,"Take remote disused with manish sir
> check device connectivity 
> update firmware 
> go to iapp application 
> go to device management 
> go to database 
> select device and sync date and time 
","Take remote disused with manish sir
> check device connectivity 
> update firmware 
> go to iapp application 
> go to device management 
> go to database 
> select device and sync date and time 
"
T004666,iApp,Access related issue ,Need to clear assign access related concern.,"1. After coordinating with the client, we identified the need for a report detailing global employee access.
2. We informed them that while a report based on local access groups is available, a report specifically for global access groups is not accessible. The existing report only displays locations, necessitating a manual check of global access groups individually.
3. We proceeded to discuss and guide them on how to check the access groups.","1. After coordinating with the client, we identified the need for a report detailing global employee access.
2. We informed them that while a report based on local access groups is available, a report specifically for global access groups is not accessible. The existing report only displays locations, necessitating a manual check of global access groups individually.
3. We proceeded to discuss and guide them on how to check the access groups."
T004667,iApp,Device is not in network,Insignia Device is shown offline,"We have found that the device got offline in Iapp but we are receiving the PIng of the device IP so inform them to restart the device.
Meanwhile we have restart the service, the device went live after is","We have found that the device got offline in Iapp but we are receiving the PIng of the device IP so inform them to restart the device.
Meanwhile we have restart the service, the device went live after is"
T004668,iApp,Version update,New version update for report issue.,User will connect after lunch,Version has been updated by Bhavya raj.
T004668,iApp,Version update,New version update for report issue.,User will connect after lunch,Version has been updated by Bhavya raj.
T004668,iApp,Version update,New version update for report issue.,"We have updated the version.
Need client confirmation.",Version has been updated by Bhavya raj.
T004668,iApp,Version update,New version update for report issue.,Need client confirmation.,Version has been updated by Bhavya raj.
T004668,iApp,Version update,New version update for report issue.,Version has been updated by Bhavya raj.,Version has been updated by Bhavya raj.
T004669,iApp,Card forgotten error ,"Below employee's card forgotten by mistake. Entry done manually in register, but system not taking card forgotten request. Please to be check and do the necessary. Employee Name: Chitanshu Patel Employee No: 136906 Card forgotten date: 15/12/2023 Shift : M","1. We applying for the card, an error was encountered indicating an invalid day punch.
2. Subsequently, upon reviewing the attendance sheet, it was observed that punches for that particular day were missing. Consequently, a card forgotten request needed to be submitted for that day.
3. We further investigation, it was discovered that the punches did not align correctly with the total work hours. To rectify this, an adjustment to the work hours was necessary to align with the scheduled shift timings.
4. Following the correction, the work hours for two shifts were updated, and the client was promptly informed of the changes.","1. We applying for the card, an error was encountered indicating an invalid day punch.
2. Subsequently, upon reviewing the attendance sheet, it was observed that punches for that particular day were missing. Consequently, a card forgotten request needed to be submitted for that day.
3. We further investigation, it was discovered that the punches did not align correctly with the total work hours. To rectify this, an adjustment to the work hours was necessary to align with the scheduled shift timings.
4. Following the correction, the work hours for two shifts were updated, and the client was promptly informed of the changes."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,User will connect after lunch,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,User will connect after lunch,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,We have escalate this issue to our product team and we are working on it to identify the issue.,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,We have escalate this issue to our product team and we are working on it to identify the issue.,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,We will continue tomorrow morning ,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,We will continue tomorrow morning ,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,Forwarding to the L2,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,SpectraBL.dll provided by production team copied  on server and check the third party table but data not reflecting on database / we will be connect on tomorrow for the same process ,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,production side response pending ,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,we found the issue for third party table data not send / developments teams working on it.,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,developments side issue ,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,SpectraBL.dll provided by production team copied on server and third party table data is reflecting done but client confirmation is pending ,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software, client confirmation is pending ,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,checking required for developments side ,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,internal response pending ,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004670,iApp,Attendance is not reflecting in third party software,Attendance is not reflecting in third party software,"We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again.","We deleted all records from the third-party table for the Mysore location between December 22, 2023, and January 4, 2024. Afterward, we updated the 'spectrumBL.dll' with a new version and also updated the process date in the scheduler table. Following these actions, data started to come into the third-party table again."
T004671,Biot Device,Biot Installation,Biot Installation,We have taken remote session of the user and provided support for biot application installation and device configuration.,We have taken remote session of the user and provided support for biot application installation and device configuration.
T004672,iApp,Email configuration,Email configuration,Ticket generated on behalf of Milan so assign to him.,check and found Gmail password is changed and informed client check and enter correct password .
T004672,iApp,Email configuration,Email configuration,check and found Gmail password is changed and informed client check and enter correct password .,check and found Gmail password is changed and informed client check and enter correct password .
T004673,iApp, Iaap Application not opening and working,Iaap Application not opening and working,Ticket is generated on behalf of Milan so assign to him.,Guided for SQL BAckup and informed about client server logic for device .
T004673,iApp, Iaap Application not opening and working,Iaap Application not opening and working,inform that n/w is too slow and client wanted to taken backup but they  password dont know password.,Guided for SQL BAckup and informed about client server logic for device .
T004673,iApp, Iaap Application not opening and working,Iaap Application not opening and working,Guided for SQL BAckup and informed about client server logic for device .,Guided for SQL BAckup and informed about client server logic for device .
T004674,Biot Device,issue in wifi connection,issue in wifi connection,"go to device management
>devices
>click on device
>change ssid password
>change wifi details
>device wifi connected","go to device management
>devices
>click on device
>change ssid password
>change wifi details
>device wifi connected"
T004675,iApp,Shift change issue ,We not able to change the shift for the employee id 3751 Please change his shift to GEN-2.(14.12.2023),"1.The client needs to change the shift for a specific date, but a late permission application has already been applied and approved. Therefore, to change the shift, it is necessary to first delete the approved late application.
2. After attempting to delete the application, a restriction error, stating ""application denied,"" is encountered.
3. To manage the punch time, a query is executed on the database:
Select * from empmaster where code=''
Select * from adjustapply where userid='' and attddate='' and category='late'
4. Upon identifying the late permission application, the following query is executed to delete it:
Delete from adjustapply where userid='' and attddate='' and category='late'After the deletion, the attendance sheet is reprocessed. Although the application appears deleted, late 
5. hours are still marked in black. Further investigation reveals an error: ""late permission already approved."" To examine the late hours value, the following query is executed:
Select * from attdmain where empid=''
6. The query shows that the lateper value is ""0."" To address this, the value is updated to ""NULL."" After reprocessing the attendance sheet, the late permission is successfully deleted.
7. The shift is then changed, and the command executes successfully.","1.The client needs to change the shift for a specific date, but a late permission application has already been applied and approved. Therefore, to change the shift, it is necessary to first delete the approved late application.
2. After attempting to delete the application, a restriction error, stating ""application denied,"" is encountered.
3. To manage the punch time, a query is executed on the database:
Select * from empmaster where code=''
Select * from adjustapply where userid='' and attddate='' and category='late'
4. Upon identifying the late permission application, the following query is executed to delete it:
Delete from adjustapply where userid='' and attddate='' and category='late'After the deletion, the attendance sheet is reprocessed. Although the application appears deleted, late 
5. hours are still marked in black. Further investigation reveals an error: ""late permission already approved."" To examine the late hours value, the following query is executed:
Select * from attdmain where empid=''
6. The query shows that the lateper value is ""0."" To address this, the value is updated to ""NULL."" After reprocessing the attendance sheet, the late permission is successfully deleted.
7. The shift is then changed, and the command executes successfully."
T004676,ARSWin-Net,software re-installation ,software re-installation,"The client is not under AMC. After the AMC process, we will provide support to the client","The client is not under AMC. After the AMC process, we will provide support to the client"
T004677,iApp,Add new employee as getting some error,"Need your help to add two new joinee details in spectra, as am getting error.",Request to share remote,We checked in face portal list management and found face is not reflected in list than checked in access allow and found no gate access has given to employee. Gave the access to employee and than made sample punch hence issue has been resolved.
T004677,iApp,Add new employee as getting some error,"Need your help to add two new joinee details in spectra, as am getting error.",Wait for remote,We checked in face portal list management and found face is not reflected in list than checked in access allow and found no gate access has given to employee. Gave the access to employee and than made sample punch hence issue has been resolved.
T004677,iApp,Add new employee as getting some error,"Need your help to add two new joinee details in spectra, as am getting error.",We add new card in card inventory than we add new employee and assign that card to him but card id not found in card inventory so we requested to share the admin login.,We checked in face portal list management and found face is not reflected in list than checked in access allow and found no gate access has given to employee. Gave the access to employee and than made sample punch hence issue has been resolved.
T004677,iApp,Add new employee as getting some error,"Need your help to add two new joinee details in spectra, as am getting error.",Wait for remote,We checked in face portal list management and found face is not reflected in list than checked in access allow and found no gate access has given to employee. Gave the access to employee and than made sample punch hence issue has been resolved.
T004677,iApp,Add new employee as getting some error,"Need your help to add two new joinee details in spectra, as am getting error.",We checked in face portal list management and found face is not reflected in list than checked in access allow and found no gate access has given to employee. Gave the access to employee and than made sample punch hence issue has been resolved.,We checked in face portal list management and found face is not reflected in list than checked in access allow and found no gate access has given to employee. Gave the access to employee and than made sample punch hence issue has been resolved.
T004678,iApp,DC and DR Status Report,DC and DR Status Report,DR and Dc report has been generated and provided to client.,DR and Dc report has been generated and provided to client.
T004679,BioScribe 2C,Hardware issue,Door access is not working at the Hyderabad warehouse location. kindly arrange the technician on priority.,Request to share the contact detail of Hyderabad warehouse location's contact person to share the remote.,Visit done on Saturday. Issue has been resolved.
T004679,BioScribe 2C,Hardware issue,Door access is not working at the Hyderabad warehouse location. kindly arrange the technician on priority.,"We had discussed with vankatesh reddy ( 8096991103 ) there is no power in device and as well as in panel, we requested them to share the server remote.",Visit done on Saturday. Issue has been resolved.
T004679,BioScribe 2C,Hardware issue,Door access is not working at the Hyderabad warehouse location. kindly arrange the technician on priority.,Mailed to arasappa ji to arrange the engineer visit.,Visit done on Saturday. Issue has been resolved.
T004679,BioScribe 2C,Hardware issue,Door access is not working at the Hyderabad warehouse location. kindly arrange the technician on priority.,Wait for visit,Visit done on Saturday. Issue has been resolved.
T004679,BioScribe 2C,Hardware issue,Door access is not working at the Hyderabad warehouse location. kindly arrange the technician on priority.,"Before visit engineer want to confirm that device is add in which software.
We checked with client, software is Netxs control.",Visit done on Saturday. Issue has been resolved.
T004679,BioScribe 2C,Hardware issue,Door access is not working at the Hyderabad warehouse location. kindly arrange the technician on priority.,Wait for visit,Visit done on Saturday. Issue has been resolved.
T004679,BioScribe 2C,Hardware issue,Door access is not working at the Hyderabad warehouse location. kindly arrange the technician on priority.,We request to dishita to share the visit charges. ,Visit done on Saturday. Issue has been resolved.
T004679,BioScribe 2C,Hardware issue,Door access is not working at the Hyderabad warehouse location. kindly arrange the technician on priority.,Wait for visit,Visit done on Saturday. Issue has been resolved.
T004679,BioScribe 2C,Hardware issue,Door access is not working at the Hyderabad warehouse location. kindly arrange the technician on priority.,Visit done on Saturday. Issue has been resolved.,Visit done on Saturday. Issue has been resolved.
T004680,iApp,Server error,Server error,We Checked and found SQL service is stop we start the service and refresh the iapp page hence issue has been resolved.,We Checked and found SQL service is stop we start the service and refresh the iapp page hence issue has been resolved.
T004681,iApp,Shift Change ,We not able to change the shift for the employee id 40034 Please change his shift to GEN-2.(13.12.2023),"1. The client needs to change the shift for a specific date, but a late permission application has already been applied and approved. Therefore, to change the shift, it is necessary to first delete the approved late application. 
2. After attempting to delete the application, a restriction error, stating ""application denied,"" is encountered. 
3. To manage the punch time, a query is executed on the database: 
Select * from empmaster where code='' 
Select * from adjustapply where userid='' and attddate='' and category='late' 
4. Upon identifying the late permission application, the following query is executed to delete it: 
Delete from adjustapply where userid='' and attddate='' and category='late' 
5. After the deletion, the attendance sheet is reprocessed. Although the application appears deleted, late 
6. hours are still marked in black. Further investigation reveals an error: ""late permission already approved."" To examine the late hours value, the following query is executed: 
Select * from attdmain where empid=''
7. The query shows that the lateper value is ""0."" To address this, the value is updated to ""NULL."" After reprocessing the attendance sheet, the late permission is successfully deleted. 
8. The shift is then changed, and the command executes successfully.","1. The client needs to change the shift for a specific date, but a late permission application has already been applied and approved. Therefore, to change the shift, it is necessary to first delete the approved late application. 
2. After attempting to delete the application, a restriction error, stating ""application denied,"" is encountered. 
3. To manage the punch time, a query is executed on the database: 
Select * from empmaster where code='' 
Select * from adjustapply where userid='' and attddate='' and category='late' 
4. Upon identifying the late permission application, the following query is executed to delete it: 
Delete from adjustapply where userid='' and attddate='' and category='late' 
5. After the deletion, the attendance sheet is reprocessed. Although the application appears deleted, late 
6. hours are still marked in black. Further investigation reveals an error: ""late permission already approved."" To examine the late hours value, the following query is executed: 
Select * from attdmain where empid=''
7. The query shows that the lateper value is ""0."" To address this, the value is updated to ""NULL."" After reprocessing the attendance sheet, the late permission is successfully deleted. 
8. The shift is then changed, and the command executes successfully."
T004682,iApp,Shift Change ,We not able to change the shift for the employee id 129301 Please change his shift to GEN-2.(07.12.2023),"We investigation, we confirmed that the attendance date is already marked as present on that specific day.","We investigation, we confirmed that the attendance date is already marked as present on that specific day."
T004683,iApp,C Off,"The user 138040 is not able to apply Coff leave for day error shown ""Coff must be taged with coff date""","We have remove the flag of ""Leave qty must match with earned Qty"" from overtime policy and informed client to ask user to reapply the same application and check","We have remove the flag of ""Leave qty must match with earned Qty"" from overtime policy and informed client to ask user to reapply the same application and check"
T004684,iApp,Attendance issue,Employee's working hours are less than 09:00 hours,We have set the shortfall in the attendance policy and reprocessed the record of user so after it the record found ok,We have set the shortfall in the attendance policy and reprocessed the record of user so after it the record found ok
T004685,ARSWin-Net,Device data from all location,To get all device data from all the location for AMC quotation.,"We have taken remoter of 11 location and gather information of devices .
Kindly find attachment for reference. ","We have taken remoter of 11 location and gather information of devices .
Kindly find attachment for reference. "
T004686,iApp,Card Forgotten Application issue,While applying the card forgoteen application it is taking to much time to open the screen,The client restarted the server of IAPP software and after that the system is working properly and smoothly so we have informed user to check again once and acknowledge us if any concern,The client have restart the server of IAPP software and after it the system is working properly and smoothly so we have informed user to check again once and acknowledge us if any concern
T004687,iApp,Attendance not shown,Pl check both data not getting in Attendance muster Register 55001310 55001311,We checked and found that shift is not assign to employee that's why attendance not shown in attendance register.,We checked and found that shift is not assign to employee that's why attendance not shown in attendance register.
T004688,iApp,Please correct the attendance,Need to move the punch for user 139468,we have canceled the leave application and OT application for that day and moved the punch accordingly,we have canceled the leave application and OT application for that day and moved the punch accordingly
T004689,Access Control 500,continues beep sound occurs.,continues beep sound occurs.,"sent mail to client
 
Looping in AMC team

Hi Sir,

As per our internal records, AMC/Warranty of supplied product has been expired and has not been renewed yet.

Requesting to contact our AMC department on below contact detail to take up AMC-related process for hassle-free support.","sent mail to client
 
Looping in AMC team

Hi Sir,

As per our internal records, AMC/Warranty of supplied product has been expired and has not been renewed yet.

Requesting to contact our AMC department on below contact detail to take up AMC-related process for hassle-free support."
T004690,iApp,Restrict Negative leave balance,System allowing negative ACL balance,"we have update flag of ""allow negative balance"" for indrad location in leave policy and informed client to check while applying the leave application of any user","we have update flag of ""allow negative balance"" for indrad location in leave policy and informed client to check while applying the leave application of any user"
T004691,Biot Device,issue in punch details,issue in punch details,"Take remote access
>go to device management
>devices
>change ssid password
>connect to wifi
>all punch showing","Take remote access
>go to device management
>devices
>change ssid password
>connect to wifi
>all punch showing"
T004692,iApp,Create New ID And Password For Department Wise ,Create New ID And Password For Department Wise View Attendance.,"Take remote access
>create login id password for employee 1913
>create departmant wise attendance view
>employee 1913 can see attendance 
>beamer department","Take remote access
>create login id password for employee 1913
>create departmant wise attendance view
>employee 1913 can see attendance 
>beamer department"
T004693,iApp,Leave forcast,Leave for cast issue.,We checked and taken the log file and we are working on this ,We have provided custom report dll file and put in UAT server and checked 2 location report and report generated properly and issue has been resolved. 
T004693,iApp,Leave forcast,Leave for cast issue.,We are working on this issue ,We have provided custom report dll file and put in UAT server and checked 2 location report and report generated properly and issue has been resolved. 
T004693,iApp,Leave forcast,Leave for cast issue., We requesting tothe client  take back up of iApp production server database and restore on UAT server so we can have testing and share solution for raised concern.,We have provided custom report dll file and put in UAT server and checked 2 location report and report generated properly and issue has been resolved. 
T004693,iApp,Leave forcast,Leave for cast issue.,Client Dependency.,We have provided custom report dll file and put in UAT server and checked 2 location report and report generated properly and issue has been resolved. 
T004693,iApp,Leave forcast,Leave for cast issue.,"we taken the remote and testing leave forecast report for on by one location and then after and report was getting generated but there was no any problem find so we connected with our development team and we contacted sun team and then after we checked dll version in live production and compare to UAT dll version so we found same so we requested to the sun team to replace the production dll in UAT server for testing purpose but they denied that request so they give me access and they told us you can replace only old uat dll so we replace old dll file in uat server which is we delivered yesterday and then after we run the leave forecast report and report was failed so we checked log file and found some error, we checked in our coding side and we found that user apply twice leave on same day that's why this issue is occurred so the development team is working on providing a new DLL file to address the issue.",We have provided custom report dll file and put in UAT server and checked 2 location report and report generated properly and issue has been resolved. 
T004693,iApp,Leave forcast,Leave for cast issue.,Development team are working on it so we are waiting for dll file.,We have provided custom report dll file and put in UAT server and checked 2 location report and report generated properly and issue has been resolved. 
T004693,iApp,Leave forcast,Leave for cast issue.,We have provided custom report dll file and put in UAT server and checked 2 location report and report generated properly and issue has been resolved. ,We have provided custom report dll file and put in UAT server and checked 2 location report and report generated properly and issue has been resolved. 
T004694,iApp,Add Below ID In Given Username And Password,Add Below ID In Given Username And Password 00001878 - Jaypalsinh Dilipsinh Mandola. 00000641 - Shaileshbhai Gunvantbhai Gohel.,"Take remote access
>go to web portal 
>add user in web portal
>department wise attendance view
>and login with excise department
>login id 213 can see attendance ","Take remote access
>go to web portal 
>add user in web portal
>department wise attendance view
>and login with excise department
>login id 213 can see attendance "
T004695,iApp,Punching Isuue,"reception area punching device, punch is not allowing for employees.","We have factory reset the device of reception area and again synced the user in it, also we have set the date & time in the device and inform cline to punch and check, so found ok","We have factory reset the device of reception area and again synced the user in it, also we have set the date & time in the device and inform cline to punch and check, so found ok"
T004696,iApp,Overtime application error ,"Pls refer the attached mail, Saugata sir is not able to approve OT refer the attached mail / error mail. Kindly do the needful from back end to avoid any salary deduction.","1. We open the sanction application page and filter the location and employee.
2. When they approve the application, they are amending its overtime hours, that is why this error is coming. employee extra time is 03:00.
3. Please approve the application without any modifications in extra hours.","1. We open the sanction application page and filter the location and employee.
2. When they approve the application, they are amending its overtime hours, that is why this error is coming. employee extra time is 03:00.
3. Please approve the application without any modifications in extra hours."
T004697,iApp,Migration,Migration,Ticket is generated on behalf of Milan so assign to him.,Error occurred after updated page the login page not opened and showcase issue to javed bhai and added  /remove landing page and resolved issue .
T004697,iApp,Migration,Migration,AMM -Report testing done and found new error for face enrolment and escalate  to development  team ,Error occurred after updated page the login page not opened and showcase issue to javed bhai and added  /remove landing page and resolved issue .
T004697,iApp,Migration,Migration,"We have modify below new server IP in all 31  devices and iApp application.
Public Ip 49.249.78.214
Local Server IP 192.168.1.45

",Error occurred after updated page the login page not opened and showcase issue to javed bhai and added  /remove landing page and resolved issue .
T004697,iApp,Migration,Migration,wait for new iapp version,Error occurred after updated page the login page not opened and showcase issue to javed bhai and added  /remove landing page and resolved issue .
T004697,iApp,Migration,Migration,"bios tamp 3s configured and tested on UAT server , data display in all reorts",Error occurred after updated page the login page not opened and showcase issue to javed bhai and added  /remove landing page and resolved issue .
T004697,iApp,Migration,Migration,tomorrow will connect ,Error occurred after updated page the login page not opened and showcase issue to javed bhai and added  /remove landing page and resolved issue .
T004697,iApp,Migration,Migration,"We have updated new build and 4.1.22 in UAT server system and still monthly report not working in scheduler
service log file send to  ronak",Error occurred after updated page the login page not opened and showcase issue to javed bhai and added  /remove landing page and resolved issue .
T004697,iApp,Migration,Migration,Log file send to ronak for bug ,Error occurred after updated page the login page not opened and showcase issue to javed bhai and added  /remove landing page and resolved issue .
T004697,iApp,Migration,Migration,Error after updated page the login page not opened and showcase issue to javed bhai and added  /remove landing page and resolved issue .,Error occurred after updated page the login page not opened and showcase issue to javed bhai and added  /remove landing page and resolved issue .
T004698,iApp,Please correct the attendance,Need to move the punch.,we have canceled the leave application for that day and moved the punch accordingly,we have canceled the leave application for that day and moved the punch accordingly
T004699,iApp,Please correct the attendance,Need to move the punch for user 126899,we have canceled the leave application and OT application for that day and moved the punch accordingly,we have canceled the leave application and OT application for that day and moved the punch accordingly
T004700,BST_PLUS,change old to new device,change old to new device,"Take remote access
>open software
>clear transaction
>take ip address
>set ip address to new device
>get device status
>set datetime
>dump database pc to reader
>working fine","Take remote access
>open software
>clear transaction
>take ip address
>set ip address to new device
>get device status
>set datetime
>dump database pc to reader
>working fine"
T004701,iApp,please help,Spread sheet is not getting displayed in the ESS login.,we have login the user and updated the field selection for the page and inform client to check,we have login the user and updated the field selection for the page and inform client to check
T004702,iApp,Device replace ,Old device is not working so we need to replace the canteen device on urgent basis.,"1. The client requested a replacement for the canteen device due to the malfunction of the old device.
2. Initially, we guided them to manually input the IP address, subnet mask, and gateway into the new device.
3. Subsequently, we accessed the bootloader application, searched for the device, and performed a firmware update for the 3S canteen device.
4. While attempting to edit the settings of the old device in the software, we encountered a situation where changing the MAC address resulted in a pending command. To resolve this, we restarted the device, successfully clearing the pending command.
5. As part of the troubleshooting process, we executed a factory reset on the device, performed a user dump, and then configured the card format on the canteen device.","1. The client requested a replacement for the canteen device due to the malfunction of the old device.
2. Initially, we guided them to manually input the IP address, subnet mask, and gateway into the new device.
3. Subsequently, we accessed the bootloader application, searched for the device, and performed a firmware update for the 3S canteen device.
4. While attempting to edit the settings of the old device in the software, we encountered a situation where changing the MAC address resulted in a pending command. To resolve this, we restarted the device, successfully clearing the pending command.
5. As part of the troubleshooting process, we executed a factory reset on the device, performed a user dump, and then configured the card format on the canteen device."
